Symbol,Value,Footprint,Description,Tags,Footprint_Filter,Datasheet
Interface_USB:FT220XS,FT220XS,Package_SO:SSOP-16_3.9x4.9mm_P0.635mm,"Full Speed USB to 4-Bit SPI / FT1248 Bridge, SSOP-16",FTDI USB SPI FT1248 Interface Converter,SSOP*3.9x4.9mm*P0.635mm*,https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT220X.pdf
Interface_USB:FT221XQ,FT221XQ,Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,"Full Speed USB to 8-Bit SPI / FT1248 Bridge, QFN-20",FTDI USB SPI FT1248 interface converter,QFN*4x4mm*P0.5mm*,https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT221X.pdf
Interface_USB:FT221XS,FT221XS,Package_SO:SSOP-20_3.9x8.7mm_P0.635mm,"Full Speed USB to 8-Bit SPI / FT1248 Bridge, SSOP-20",FTDI USB SPI FT1248 interface converter,SSOP*3.9x8.7mm*P0.635mm*,https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT221X.pdf
Interface_USB:FT2232D,FT2232D,Package_QFP:LQFP-48_7x7mm_P0.5mm,"Full Speed Double Channel USB UART/FIFO, LQFP-48",USB Double UART FIFO,LQFP*7x7mm*P0.5mm*,http://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT2232D.pdf
Interface_USB:FT2232HL,FT2232HL,Package_QFP:LQFP-64_10x10mm_P0.5mm,"Hi Speed Double Channel USB UART/FIFO, LQFP-64",USB Double UART FIFO,LQFP*10x10mm*P0.5mm*,https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT2232H.pdf
Interface_USB:FT2232HQ,FT2232HQ,Package_DFN_QFN:QFN-64-1EP_9x9mm_P0.5mm_EP4.35x4.35mm,"Hi Speed Double Channel USB UART/FIFO, QFN-64",USB Double UART FIFO,QFN*1EP*9x9mm*P0.5mm*,https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT2232H.pdf
Interface_USB:FT230XQ,FT230XQ,Package_DFN_QFN:QFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm,"Full-Speed USB to Basic UART, WQFN-16",FTDI USB UART interface converter,*QFN*4x4mm?P0.65mm?EP2.1x2.1mm*,https://ftdichip.com/wp-content/uploads/2025/06/DS_FT230X.pdf
Interface_USB:FT230XS,FT230XS,Package_SO:SSOP-16_3.9x4.9mm_P0.635mm,"Full-Speed USB to Basic UART, SSOP-16",FTDI USB UART interface converter,SSOP*3.9x4.9mm?P0.635mm*,https://ftdichip.com/wp-content/uploads/2025/06/DS_FT230X.pdf
Interface_USB:FT231XQ,FT231XQ,Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,"Full Speed USB to Full Handshake UART, QFN-20",FTDI USB UART interface converter,QFN*4x4mm*P0.5mm*,https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT231X.pdf
Interface_USB:FT231XS,FT231XS,Package_SO:SSOP-20_3.9x8.7mm_P0.635mm,"Full Speed USB to Full Handshake UART, SSOP-20",FTDI USB UART interface converter,*SSOP*3.9x8.7mm*P0.635mm*,https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT231X.pdf
