"Symbol","Value","Footprint","Description","Tags","Footprint_Filter","Datasheet"
"Filter:FN405-6-02","FN405-6-02","Filter:Filter_Schaffner_FN405","6A, 250VAC, 50/60Hz line filter","EMI","Filter*Schaffner*FN405*","https://www.schaffner.com/de/produkte/download/product/datasheet/fn-405-pcb-mounting-filter/"
"Filter:FN406-0.5-02","FN406-0.5-02","Filter:Filter_Schaffner_FN406","0.5A ultra compact EMI Filter","EMI mains","Filter*Schaffner*FN406*","https://www.schaffner.com/products/download/product/datasheet/fn-406-ultra-compact-emc-filter/"
"Filter:FN406-1-02","FN406-1-02","Filter:Filter_Schaffner_FN406","1A ultra compact EMI Filter","EMI mains","Filter*Schaffner*FN406*","https://www.schaffner.com/products/download/product/datasheet/fn-406-ultra-compact-emc-filter/"
"Filter:FN406-3-02","FN406-3-02","Filter:Filter_Schaffner_FN406","3A ultra compact EMI Filter","EMI mains","Filter*Schaffner*FN406*","https://www.schaffner.com/products/download/product/datasheet/fn-406-ultra-compact-emc-filter/"
"Filter:FN406-6-02","FN406-6-02","Filter:Filter_Schaffner_FN406","6A ultra compact EMI Filter","EMI mains","Filter*Schaffner*FN406*","https://www.schaffner.com/products/download/product/datasheet/fn-406-ultra-compact-emc-filter/"
"Filter:FN406-8.4-02","FN406-8.4-02","Filter:Filter_Schaffner_FN406","8.4A ultra compact EMI Filter","EMI mains","Filter*Schaffner*FN406*","https://www.schaffner.com/products/download/product/datasheet/fn-406-ultra-compact-emc-filter/"
"Filter:FN406B-0.5-02","FN406B-0.5-02","Filter:Filter_Schaffner_FN406","0.5A ultra compact EMI Filter, medical version","EMI mains","Filter*Schaffner*FN406*","https://www.schaffner.com/products/download/product/datasheet/fn-406-ultra-compact-emc-filter/"
"Filter:FN406B-1-02","FN406B-1-02","Filter:Filter_Schaffner_FN406","1A ultra compact EMI Filter, medical version","EMI mains","Filter*Schaffner*FN406*","https://www.schaffner.com/products/download/product/datasheet/fn-406-ultra-compact-emc-filter/"
"Filter:FN406B-3-02","FN406B-3-02","Filter:Filter_Schaffner_FN406","3A ultra compact EMI Filter, medical version","EMI mains","Filter*Schaffner*FN406*","https://www.schaffner.com/products/download/product/datasheet/fn-406-ultra-compact-emc-filter/"
"Filter:FN406B-6-02","FN406B-6-02","Filter:Filter_Schaffner_FN406","6A ultra compact EMI Filter, medical version","EMI mains","Filter*Schaffner*FN406*","https://www.schaffner.com/products/download/product/datasheet/fn-406-ultra-compact-emc-filter/"
