"Database_Symbol","Value","Footprint","Description","Tags","Footprint_Filter","Datasheet"
"Relay:SILxx-1Cxx-51x","SILxx-1Cxx-51x","Relay_THT:Relay_SPDT_StandexMeder_SIL_Form1C","Standex Meder SIL reed relay, SPDT","Single Pole Reed Relay SPDT","Relay*SPDT*StandexMeder*SIL*Form1C*","https://standexelectronics.com/wp-content/uploads/datasheet_reed_relay_SIL.pdf"
"Relay:TE_PCH-1xxx2M","TE_PCH-1xxx2M","Relay_THT:Relay_SPST_TE_PCH-1xxx2M","TE PCH relay, Miniature Single Pole, SPST-NO","Miniature Single Pole Relay","Relay*SPST*TE*PCH*1***2M*","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7FPCH_series_relay_data_sheet_E%7F1215%7Fpdf%7FEnglish%7FENG_DS_PCH_series_relay_data_sheet_E_1215.pdf%7F9-1440003-0"
"Relay:TIANBO-HJR-4102-L","TIANBO-HJR-4102-L","Relay_THT:Relay_SPDT_HJR-4102","TIANBO HJR-4102-L, Single Pole Relay, 5mm Pitch, 3A","Single Pole Relay","Relay*HJR?4102*","https://cdn-reichelt.de/documents/datenblatt/C300/DS_HJR4102E.pdf"
"Relay:UMS05-1A80-75D","UMS05-1A80-75D","Relay_THT:Relay_StandexMeder_UMS","Standex Meder UMS reed relay, SPST, Closing Contact, with diode","Single Pole Reed Relay SPST","Relay*StandexMeder*UMS*","https://standexelectronics.com/wp-content/uploads/datasheets/43/4305180175d.pdf"
"Relay:UMS05-1A80-75L","UMS05-1A80-75L","Relay_THT:Relay_StandexMeder_UMS","Standex Meder UMS reed relay, SPST, Closing Contact","Single Pole Reed Relay SPST","Relay*StandexMeder*UMS*","https://standexelectronics.com/wp-content/uploads/datasheets/43/4305180075d.pdf"
"Relay:V23072-Cx061-xxx8","V23072-Cx061-xxx8","Relay_THT:Relay_Tyco_V23072_Sealed","Mini Relay K, 12VDC coil / rated voltage, 1 Form U (twin make contact, i.e. 2x NO with common connection), Sealed Enclosure","SPST Miniature Single Pole Obsolete","*Relay*Tyco*","https://www.electrokit.com/upload/product/41019/41019252/V23072.pdf"
"Relay:V23072-Cx062-xxx8","V23072-Cx062-xxx8","Relay_THT:Relay_Tyco_V23072_Sealed","Mini Relay K, 24VDC coil / rated voltage, 1 Form U (twin make contact, i.e. 2x NO with common connection), Sealed Enclosure","SPST Miniature Single Pole Obsolete","*Relay*Tyco*","https://www.electrokit.com/upload/product/41019/41019252/V23072.pdf"
"Relay:Y14x-1C-xxDS","Y14x-1C-xxDS","Relay_THT:Relay_SPDT_HsinDa_Y14","Hsin Da Y14-series relay, Single Pole Dual Throw","Relay SPDT","Relay*Y14*","http://www.hsinda.com.tw/upload/file/Y14-20200430135145.pdf"
"Relay_SolidState:34.81-7048","34.81-7048","OptoDevice:Finder_34.81","Ultra-Slim Solid-State Relay, 0.1A, 48V DC output switching","NPN DC Optocoupler","Finder*34.81*","http://www.us.liteon.com/downloads/LTV-817-827-847.PDF"
"Relay_SolidState:34.81-8240","34.81-8240","OptoDevice:Finder_34.81","Ultra-slim - Solid State Relay, 2A, 240V AC output, Zero crossing switching","Photo-Triac Opto Triac","Finder*34.81*","https://gfinder.findernet.com/public/attachments/34/EN/S34USAEN.pdf"
"Relay_SolidState:34.81-9024","34.81-9024","OptoDevice:Finder_34.81","Ultra-Slim Solid-State Relay, 2A, 24V DC output switching","NPN DC Optocoupler","Finder*34.81*","http://www.us.liteon.com/downloads/LTV-817-827-847.PDF"
"Relay_SolidState:AQH0213","AQH0213","Package_DIP:DIP-8-N7_W7.62mm","Zero Cross Opto-Triac, Vdrm 600V, Ift 10mA, IT 300mA, DIP-7","Opto-Triac Opto Triac Zero Cross Solid State Relays","DIP*N7*W7.62mm*","https://mediap.industry.panasonic.eu/assets/imported/industrial.panasonic.com/ac/cdn/e/control/relay/solid-state/catalog/semi_eng_aqh.pdf"
"Relay_SolidState:AQH0213A","AQH0213A","Package_SO:SSO-7-8_6.4x9.78mm_P2.54mm","Zero Cross Opto-Triac, Vdrm 600V, Ift 10mA, IT 300mA, SOIC-7","Opto-Triac Opto Triac Zero Cross Solid State Relays","SSO*6.4x9.78mm*P2.54mm*","https://mediap.industry.panasonic.eu/assets/imported/industrial.panasonic.com/ac/cdn/e/control/relay/solid-state/catalog/semi_eng_aqh.pdf"
"Relay_SolidState:AQH0223","AQH0223","Package_DIP:DIP-8-N7_W7.62mm","Random Phase Opto-Triac, Vdrm 600V, Ift 10mA, IT 300mA, DIP-7","Opto-Triac Opto Triac Random Phase","DIP*N7*W7.62mm*","https://mediap.industry.panasonic.eu/assets/imported/industrial.panasonic.com/ac/cdn/e/control/relay/solid-state/catalog/semi_eng_aqh.pdf"
"Relay_SolidState:AQH0223A","AQH0223A","Package_SO:SSO-7-8_6.4x9.78mm_P2.54mm","Random Phase Opto-Triac, Vdrm 600V, Ift 10mA, IT 300mA, SOIC-7","Opto-Triac Opto Triac Random Phase","SSO*6.4x9.78mm*P2.54mm*","https://mediap.industry.panasonic.eu/assets/imported/industrial.panasonic.com/ac/cdn/e/control/relay/solid-state/catalog/semi_eng_aqh.pdf"
"Relay_SolidState:AQH1213","AQH1213","Package_DIP:DIP-8-N7_W7.62mm","Zero Cross Opto-Triac, Vdrm 600V, Ift 10mA, IT 600mA, DIP-7","Opto-Triac Opto Triac Zero Cross Solid State Relays","DIP*N7*W7.62mm*","https://mediap.industry.panasonic.eu/assets/imported/industrial.panasonic.com/ac/cdn/e/control/relay/solid-state/catalog/semi_eng_aqh.pdf"
"Relay_SolidState:AQH1213A","AQH1213A","Package_SO:SSO-7-8_6.4x9.78mm_P2.54mm","Zero Cross Opto-Triac, Vdrm 600V, Ift 10mA, IT 600mA, SOIC-7","Opto-Triac Opto Triac Zero Cross Solid State Relays","SSO*6.4x9.78mm*P2.54mm*","https://mediap.industry.panasonic.eu/assets/imported/industrial.panasonic.com/ac/cdn/e/control/relay/solid-state/catalog/semi_eng_aqh.pdf"
