Symbol,Value,Footprint,Description,Tags,Footprint_Filter,Datasheet
Transistor_FET:BUK9M156-100EX,BUK9M156-100EX,MyLib_Package_TO_SOT_SMD:LFPAK33,"9.3A Id, 100V Vds, N-Channel TrenchMOS MOSFET, 150mOhm Ron, 7.4nC Qqd, -55 to 175 °C, LFPAK33",Power MOSFET N-MOS,LFPAK33*,https://assets.nexperia.com/documents/data-sheet/BUK9M156-100E.pdf
Transistor_FET:BUK9M17-30EX,BUK9M17-30EX,MyLib_Package_TO_SOT_SMD:LFPAK33,"37A Id, 30V Vds, N-Channel TrenchMOS MOSFET, 14mOhm Ron, 8nC Qqd, -55 to 175 °C, LFPAK33",Power MOSFET N-MOS,LFPAK33*,https://assets.nexperia.com/documents/data-sheet/BUK9M17-30E.pdf
Transistor_FET:BUK9M19-60EX,BUK9M19-60EX,MyLib_Package_TO_SOT_SMD:LFPAK33,"38A Id, 60V Vds, N-Channel TrenchMOS MOSFET, 17mOhm Ron, 13.8nC Qqd, -55 to 175 °C, LFPAK33",Power MOSFET N-MOS,LFPAK33*,https://assets.nexperia.com/documents/data-sheet/BUK9M19-60E.pdf
Transistor_FET:BUK9M23-80EX,BUK9M23-80EX,MyLib_Package_TO_SOT_SMD:LFPAK33,"37A Id, 80V Vds, N-Channel TrenchMOS MOSFET, 20mOhm Ron, 20nC Qqd, -55 to 175 °C, LFPAK33",Power MOSFET N-MOS,LFPAK33*,https://assets.nexperia.com/documents/data-sheet/BUK9M23-80E.pdf
Transistor_FET:BUK9M24-40EX,BUK9M24-40EX,MyLib_Package_TO_SOT_SMD:LFPAK33,"30A Id, 40V Vds, N-Channel TrenchMOS MOSFET, 20mOhm Ron, 7.7nC Qqd, -55 to 175 °C, LFPAK33",Power MOSFET N-MOS,LFPAK33*,https://assets.nexperia.com/documents/data-sheet/BUK9M24-40E.pdf
Transistor_FET:BUK9M24-60EX,BUK9M24-60EX,MyLib_Package_TO_SOT_SMD:LFPAK33,"32A Id, 60V Vds, N-Channel TrenchMOS MOSFET, 21mOhm Ron, 12.4nC Qqd, -55 to 175 °C, LFPAK33",Power MOSFET N-MOS,LFPAK33*,https://assets.nexperia.com/documents/data-sheet/BUK9M24-60E.pdf
Transistor_FET:BUK9M28-80EX,BUK9M28-80EX,MyLib_Package_TO_SOT_SMD:LFPAK33,"33A Id, 80V Vds, N-Channel TrenchMOS MOSFET, 25mOhm Ron, 16.7nC Qqd, -55 to 175 °C, LFPAK33",Power MOSFET N-MOS,LFPAK33*,https://assets.nexperia.com/documents/data-sheet/BUK9M28-80E.pdf
Transistor_FET:BUK9M34-100EX,BUK9M34-100EX,MyLib_Package_TO_SOT_SMD:LFPAK33,"29A Id, 100V Vds, N-Channel TrenchMOS MOSFET, 34mOhm Ron, 24.7nC Qqd, -55 to 175 °C, LFPAK33",Power MOSFET N-MOS,LFPAK33*,https://assets.nexperia.com/documents/data-sheet/BUK9M34-100E.pdf
Transistor_FET:BUK9M35-80EX,BUK9M35-80EX,MyLib_Package_TO_SOT_SMD:LFPAK33,"26A Id, 80V Vds, N-Channel TrenchMOS MOSFET, 31mOhm Ron, 13.5nC Qqd, -55 to 175 °C, LFPAK33",Power MOSFET N-MOS,LFPAK33*,https://assets.nexperia.com/documents/data-sheet/BUK9M35-80E.pdf
Transistor_FET:BUK9M42-60EX,BUK9M42-60EX,MyLib_Package_TO_SOT_SMD:LFPAK33,"22A Id, 60V Vds, N-Channel TrenchMOS MOSFET, 37mOhm Ron, 8.3nC Qqd, -55 to 175 °C, LFPAK33",Power MOSFET N-MOS,LFPAK33*,https://assets.nexperia.com/documents/data-sheet/BUK9M42-60E.pdf
